,household_key,age_45_plus,income_50K_plus,single_couple_family,has_kids,single,couple,r_score,f_score,m_score,rfm_score,rfm_bins,alcohol,beverages,concessions,dairy,drug,garden,grain_goods,grocery,home_family,junk_food,kitchen,meat,misc,produce,seasonal,total_sales
68,201,1,0,3,1,0,0,5,2,2,9,3,20.46,30.48,0.95,57.879999999999995,0.0,1.99,58.339999999999996,42.25,109.53,483.94,8.98,394.07,59.25,154.09,12.96,1435.1699999999998
69,208,1,1,2,0,0,1,5,4,4,13,4,0.0,88.42,107.69999999999999,495.05,84.24,0.0,367.41,142.22,275.37,245.89000000000001,20.18,889.4300000000001,239.98,402.93,0.0,3358.8200000000006
70,209,1,0,3,1,0,0,4,4,5,13,4,610.79,196.0,14.780000000000001,757.6,49.57,0.0,416.61,279.83,429.6,469.32,0.0,1473.47,442.08,462.94,0.0,5602.589999999999
71,211,1,0,2,0,1,0,5,4,3,12,3,0.0,110.69,13.97,182.6,40.78,0.0,481.48,98.34,14.96,514.47,0.0,207.61,148.93,287.58,1.98,2103.3900000000003
72,212,0,0,1,0,1,0,4,4,3,11,3,42.129999999999995,132.32,92.02,128.28,36.88,0.0,251.27,124.27000000000001,378.22,261.4,12.98,396.3,187.81,278.38,33.89,2356.1499999999996
73,214,1,0,2,0,0,1,5,3,4,12,3,0.0,397.66,37.92,336.59000000000003,59.56,0.0,375.7,90.92,155.86,163.23000000000002,3.99,651.16,118.92,266.4,0.0,2657.9100000000003
74,216,0,1,1,0,1,0,5,4,4,13,4,328.19,157.49,100.06,58.3,112.97,92.5,151.13,64.97,322.85,241.44,0.0,587.2,67.92,189.91,11.97,2486.9
75,218,1,0,2,0,0,1,5,4,5,14,4,409.5,168.07,920.48,433.62,254.05,35.16,397.46,333.47,356.01,1009.38,8.91,1396.6200000000001,400.56,686.4300000000001,1.99,6811.710000000001
76,219,1,1,2,0,0,1,5,5,5,15,5,559.54,716.24,191.39000000000001,696.16,199.17000000000002,5.58,743.62,770.49,1943.19,405.39,16.46,2021.65,627.4300000000001,2140.7200000000003,30.58,11067.609999999999
77,220,1,0,2,0,0,1,4,3,3,10,3,7.49,119.58,88.97,256.7,27.189999999999998,13.34,206.49,60.72,125.83,201.41,7.48,269.35,167.85,150.32,97.49,1800.21
78,221,1,0,1,0,1,0,4,3,4,11,3,0.0,171.31,8.48,451.98,25.09,0.0,478.52,86.32,162.08,255.47,0.0,792.3100000000001,113.45,147.57,0.0,2692.58
79,222,0,0,2,0,0,1,5,4,5,14,4,127.65,603.29,190.06,387.26,24.26,0.0,374.48,272.36,232.38,147.06,2.39,909.95,361.61,853.92,0.0,4486.67
80,230,0,0,1,0,1,0,5,4,4,13,4,23.150000000000002,259.1,21.77,366.79,15.75,0.0,336.56,272.0,199.96,806.51,0.0,1040.15,231.47,474.44,5.97,4053.62
81,232,0,0,2,0,0,1,3,5,5,13,4,925.34,613.08,65.88,802.39,225.6,6.98,598.8,373.17,1494.45,1585.99,14.81,1823.28,791.7,834.91,42.09,10198.470000000001
82,235,0,1,3,1,0,0,5,5,5,15,5,918.33,309.26,126.93,916.7,226.27,98.93999999999998,1046.55,659.37,763.36,883.78,11.55,1433.77,596.95,1030.1200000000001,69.9,9091.779999999999
83,239,1,1,1,0,1,0,5,5,4,14,4,502.42,109.12,50.92,344.41,125.02000000000001,38.95,237.3,77.61,845.09,251.28,0.0,853.94,216.88,565.36,8.73,4227.03
84,242,1,1,3,1,0,0,5,3,5,13,4,104.11,55.38,52.44,380.58,59.69,16.96,566.16,298.3,1015.32,414.86,16.47,1179.28,354.88,471.34000000000003,9.31,4995.080000000001
85,243,1,1,2,0,0,1,5,5,5,15,5,14.379999999999999,357.63,345.96,582.78,278.64,71.42,634.88,425.78000000000003,578.28,280.17,47.11,534.29,469.16,1566.2,0.0,6186.679999999999
86,248,0,1,3,1,0,0,5,2,5,12,3,248.45,278.92,25.27,772.45,10.57,9.98,465.52,362.42,383.13,343.12,0.0,1251.31,346.12,595.25,1.0,5093.509999999999
